                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.80332,                 2.8016,                 1.0342,                      1,                0.10629,                0.85421,                0.65976,                0.74479,                 3.2392,                0.87706,                 0.0003,                 0.0003,                 0.0003
                      2,                0.87917,                 1.6735,                 1.0316,                      1,                0.17129,                0.48652,                0.34282,                0.92013,                 3.7825,                 1.0895,             0.00061386,             0.00061386,             0.00061386
                      3,                0.88384,                 1.5221,                 1.0526,                0.90579,                  0.625,                0.81667,                0.60431,                 0.8764,                 2.8224,                0.96945,             0.00092139,             0.00092139,             0.00092139
                      4,                0.89631,                 1.4375,                 1.0519,                0.88909,                0.44536,                0.61393,                0.42094,                 1.0077,                 3.4918,                  1.067,              0.0012226,              0.0012226,              0.0012226
                      5,                0.90976,                 1.3641,                 1.0614,                0.11999,                0.13889,                 0.0919,                0.02116,                 1.3942,                 4.6128,                 1.5053,              0.0015174,              0.0015174,              0.0015174
                      6,                 1.0112,                 1.3773,                 1.1056,                0.07584,                0.20833,                0.05222,                0.01881,                 1.5147,                  14.88,                 1.5883,               0.001806,               0.001806,               0.001806
                      7,                0.90943,                 1.2695,                 1.0695,                0.56024,                0.52778,                0.53148,                0.38611,                0.96375,                 2.6393,                 1.0261,              0.0018812,              0.0018812,              0.0018812
                      8,                0.91538,                 1.1035,                 1.0527,                0.62067,                0.47222,                0.54636,                0.42909,                0.90882,                  2.137,                   1.09,              0.0018812,              0.0018812,              0.0018812
                      9,                0.91698,                 1.1334,                  1.048,                0.70361,                0.59722,                 0.6808,                0.49012,                0.87071,                 1.6174,                 1.0227,              0.0018614,              0.0018614,              0.0018614
                     10,                0.89559,                 1.0837,                 1.0598,                 0.7149,                0.59722,                0.69038,                 0.5488,                0.76173,                 1.6423,                0.96842,              0.0018416,              0.0018416,              0.0018416
                     11,                0.90466,                0.99347,                 1.0518,                0.90965,                0.76389,                0.89766,                0.66802,                0.90457,                 1.2359,                 1.0651,              0.0018218,              0.0018218,              0.0018218
                     12,                 0.8285,                0.92203,                 1.0115,                0.94071,                0.88889,                0.94033,                0.74509,                0.79113,                 1.2143,                0.97964,               0.001802,               0.001802,               0.001802
